Retailer,RetaileriD,Invoice Date,Region,State,City,Beverage Brand,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Target,1189833,04/18/23,West,California,Los Angeles,Dasani Water,0.65,6250,4063,813,0.20
Target,1189833,04/19/23,West,California,Los Angeles,Coca-Cola,0.45,9000,4050,1620,0.40
Target,1189833,04/20/23,West,California,Los Angeles,Diet Coke,0.5,7500,3750,938,0.25
Target,1189833,04/21/23,West,California,Los Angeles,Sprite,0.5,7500,3750,1500,0.40
Target,1189833,04/22/23,West,California,Los Angeles,Fanta,0.45,6250,2813,984,0.35
Target,1189833,04/23/23,West,California,Los Angeles,Powerade,0.5,5000,2500,1375,0.55
Target,1189833,04/24/23,West,California,Los Angeles,Dasani Water,0.65,8000,5200,1040,0.20
Target,1189833,04/25/23,West,California,Los Angeles,Coca-Cola,0.45,9500,4275,1710,0.40
Target,1189833,04/26/23,West,California,Los Angeles,Diet Coke,0.5,8000,4000,1000,0.25
Target,1189833,04/27/23,West,California,Los Angeles,Sprite,0.5,7500,3750,1500,0.40
Target,1189833,04/28/23,West,California,Los Angeles,Fanta,0.45,6500,2925,1024,0.35
Target,1189833,04/29/23,West,California,Los Angeles,Powerade,0.5,7000,3500,1925,0.55
Target,1189833,04/30/23,West,California,Los Angeles,Dasani Water,0.65,7000,4550,910,0.20
Target,1189833,05/01/23,West,California,Los Angeles,Coca-Cola,0.5,9000,4500,1800,0.40
Target,1189833,05/02/23,West,California,Los Angeles,Diet Coke,0.55,8500,4675,1169,0.25
Target,1189833,05/03/23,West,California,Los Angeles,Sprite,0.5,7250,3625,1450,0.40
Target,1189833,05/04/23,West,California,Los Angeles,Fanta,0.5,6750,3375,1181,0.35
Target,1189833,05/05/23,West,California,Los Angeles,Powerade,0.6,6750,4050,2228,0.55
Target,1189833,05/06/23,West,California,Los Angeles,Dasani Water,0.65,6500,4225,845,0.20
Target,1189833,05/07/23,West,California,Los Angeles,Coca-Cola,0.5,8500,4250,1700,0.40
Target,1189833,05/08/23,West,California,Los Angeles,Diet Coke,0.55,8500,4675,1169,0.25
Target,1189833,05/09/23,West,California,Los Angeles,Sprite,0.5,7000,3500,1400,0.40
Target,1189833,05/10/23,West,California,Los Angeles,Fanta,0.5,6500,3250,1138,0.35
Target,1189833,05/11/23,West,California,Los Angeles,Powerade,0.6,6500,3900,2145,0.55
Target,1189833,05/12/23,West,California,Los Angeles,Dasani Water,0.65,7000,4550,910,0.20
Target,1189833,05/13/23,West,California,Los Angeles,Coca-Cola,0.5,8000,4000,1600,0.40
Target,1189833,05/14/23,West,California,Los Angeles,Diet Coke,0.55,8000,4400,1100,0.25
Target,1189833,05/15/23,West,California,Los Angeles,Sprite,0.5,6500,3250,1300,0.40
Target,1189833,05/16/23,West,California,Los Angeles,Fanta,0.5,6250,3125,1094,0.35
Target,1189833,05/17/23,West,California,Los Angeles,Powerade,0.6,6000,3600,1980,0.55
Target,1189833,05/18/23,West,California,Los Angeles,Dasani Water,0.65,6500,4225,845,0.20
Target,1189833,05/19/23,West,California,Los Angeles,Coca-Cola,0.5,8250,4125,1650,0.40
Target,1189833,05/20/23,West,California,Los Angeles,Diet Coke,0.55,8250,4538,1134,0.25
Target,1189833,05/21/23,West,California,Los Angeles,Sprite,0.5,6750,3375,1350,0.40
Target,1189833,05/22/23,West,California,Los Angeles,Fanta,0.5,6500,3250,1138,0.35
Target,1189833,05/23/23,West,California,Los Angeles,Powerade,0.6,6000,3600,1980,0.55
Target,1189833,05/24/23,West,California,Los Angeles,Dasani Water,0.65,7000,4550,910,0.20
Target,1189833,05/25/23,West,California,Los Angeles,Coca-Cola,0.5,9000,4500,1800,0.40
Target,1189833,05/26/23,West,California,Los Angeles,Diet Coke,0.55,9000,4950,1238,0.25
Target,1189833,05/27/23,West,California,Los Angeles,Sprite,0.5,7000,3500,1400,0.40
Target,1189833,05/28/23,West,California,Los Angeles,Fanta,0.5,7000,3500,1225,0.35
Target,1189833,05/29/23,West,California,Los Angeles,Powerade,0.6,6250,3750,2063,0.55
Target,1189833,05/30/23,West,California,Los Angeles,Dasani Water,0.65,7250,4713,943,0.20
BevCo,1185732,05/31/23,West,California,Los Angeles,Coca-Cola,0.45,4750,2138,855,0.40
BevCo,1185732,06/01/23,West,California,Los Angeles,Diet Coke,0.45,2750,1238,433,0.35
BevCo,1185732,06/02/23,West,California,Los Angeles,Sprite,0.35,2750,963,337,0.35
BevCo,1185732,06/03/23,West,California,Los Angeles,Fanta,0.4,1250,500,200,0.40
BevCo,1185732,06/04/23,Midwest,Illinois,Chicago,Powerade,0.55,1750,963,337,0.35
BevCo,1185732,06/05/23,Midwest,Illinois,Chicago,Dasani Water,0.45,2750,1238,619,0.50
BevCo,1185732,06/06/23,Midwest,Illinois,Chicago,Coca-Cola,0.45,5250,2363,945,0.40
BevCo,1185732,06/07/23,Midwest,Illinois,Chicago,Diet Coke,0.45,1750,788,276,0.35
BevCo,1185732,06/08/23,Midwest,Illinois,Chicago,Sprite,0.35,2250,788,276,0.35
BevCo,1185732,06/09/23,Midwest,Illinois,Chicago,Fanta,0.4,1000,400,160,0.40
BevCo,1185732,06/10/23,Midwest,Illinois,Chicago,Powerade,0.55,1750,963,337,0.35
BevCo,1185732,06/11/23,Midwest,Illinois,Chicago,Dasani Water,0.45,2750,1238,619,0.50
BevCo,1185732,06/12/23,Midwest,Illinois,Chicago,Coca-Cola,0.5,4950,2475,990,0.40
BevCo,1185732,06/13/23,Midwest,Illinois,Chicago,Diet Coke,0.5,2000,1000,350,0.35
BevCo,1185732,06/14/23,Midwest,Illinois,Chicago,Sprite,0.4,2250,900,315,0.35
BevCo,1185732,06/15/23,Midwest,Illinois,Chicago,Fanta,0.45,750,338,135,0.40
BevCo,1185732,06/16/23,Midwest,Illinois,Chicago,Powerade,0.6,1250,750,263,0.35
BevCo,1185732,06/17/23,Midwest,Illinois,Chicago,Dasani Water,0.5,2250,1125,563,0.50
BevCo,1185732,06/18/23,Midwest,Illinois,Chicago,Coca-Cola,0.5,4500,2250,900,0.40
BevCo,1185732,06/19/23,Midwest,Illinois,Chicago,Diet Coke,0.5,1500,750,263,0.35
BevCo,1185732,06/20/23,Midwest,Illinois,Chicago,Sprite,0.4,1500,600,210,0.35
BevCo,1185732,06/21/23,Midwest,Illinois,Chicago,Fanta,0.45,750,338,135,0.40
BevCo,1185732,06/22/23,Midwest,Illinois,Chicago,Powerade,0.6,1000,600,210,0.35
BevCo,1185732,06/23/23,Midwest,Illinois,Chicago,Dasani Water,0.5,2250,1125,563,0.50
BevCo,1185732,06/24/23,Midwest,Illinois,Chicago,Coca-Cola,0.6,4950,2970,1188,0.40
BevCo,1185732,06/25/23,Midwest,Illinois,Chicago,Diet Coke,0.55,2000,1100,385,0.35
BevCo,1185732,06/26/23,Midwest,Illinois,Chicago,Sprite,0.5,1750,875,306,0.35
BevCo,1185732,06/27/23,Midwest,Illinois,Chicago,Fanta,0.5,1000,500,200,0.40
BevCo,1185732,06/28/23,Midwest,Illinois,Chicago,Powerade,0.6,1250,750,263,0.35
BevCo,1185732,06/29/23,Midwest,Illinois,Chicago,Dasani Water,0.65,2500,1625,813,0.50
BevCo,1185732,06/30/23,Midwest,Illinois,Chicago,Coca-Cola,0.5,5000,2500,1000,0.40
BevCo,1185732,07/01/23,Midwest,Illinois,Chicago,Diet Coke,0.45,2500,1125,394,0.35
BevCo,1185732,07/02/23,Midwest,Illinois,Chicago,Sprite,0.4,2000,800,280,0.35
BevCo,1185732,07/03/23,Midwest,Illinois,Chicago,Fanta,0.4,1750,700,280,0.40
BevCo,1185732,07/04/23,Midwest,Illinois,Chicago,Powerade,0.5,1750,875,306,0.35
BevCo,1185732,07/05/23,Midwest,Illinois,Chicago,Dasani Water,0.55,3500,1925,963,0.50
BevCo,1185732,07/06/23,Midwest,Illinois,Chicago,Coca-Cola,0.5,5750,2875,1150,0.40
BevCo,1185732,07/07/23,Midwest,Illinois,Chicago,Diet Coke,0.45,3250,1463,512,0.35
BevCo,1185732,07/08/23,Midwest,Illinois,Chicago,Sprite,0.4,2500,1000,350,0.35
BevCo,1185732,07/09/23,Midwest,Illinois,Chicago,Fanta,0.4,2000,800,320,0.40
BevCo,1185732,07/10/23,Midwest,Illinois,Chicago,Powerade,0.5,2250,1125,394,0.35
BevCo,1185732,07/11/23,Midwest,Illinois,Chicago,Dasani Water,0.55,4000,2200,1100,0.50
BevCo,1185732,07/12/23,Midwest,Illinois,Chicago,Coca-Cola,0.5,5500,2750,1100,0.40
BevCo,1185732,07/13/23,Midwest,Illinois,Chicago,Diet Coke,0.45,3250,1463,512,0.35
BevCo,1185732,07/14/23,Midwest,Illinois,Chicago,Sprite,0.4,2500,1000,350,0.35
BevCo,1185732,07/15/23,Midwest,Illinois,Chicago,Fanta,0.4,2250,900,360,0.40
BevCo,1185732,07/16/23,Midwest,Illinois,Chicago,Powerade,0.5,2000,1000,350,0.35
BevCo,1185732,07/17/23,Midwest,Illinois,Chicago,Dasani Water,0.55,3750,2063,1031,0.50
BevCo,1185732,07/18/23,Midwest,Illinois,Chicago,Coca-Cola,0.5,5000,2500,1000,0.40
BevCo,1185732,07/19/23,Midwest,Illinois,Chicago,Diet Coke,0.45,3000,1350,473,0.35
BevCo,1185732,07/20/23,Midwest,Illinois,Chicago,Sprite,0.4,2000,800,280,0.35
BevCo,1185732,07/21/23,Midwest,Illinois,Chicago,Fanta,0.4,1750,700,280,0.40
BevCo,1185732,07/22/23,Midwest,Illinois,Chicago,Powerade,0.5,1750,875,306,0.35
BevCo,1185732,07/23/23,Midwest,Illinois,Chicago,Dasani Water,0.55,2500,1375,688,0.50
BevCo,1185732,07/24/23,Midwest,Illinois,Chicago,Coca-Cola,0.6,4250,2550,1020,0.40
BevCo,1185732,07/25/23,Midwest,Illinois,Chicago,Diet Coke,0.5,2500,1250,438,0.35
BevCo,1185732,07/26/23,Midwest,Illinois,Chicago,Sprite,0.5,1500,750,263,0.35
BevCo,1185732,07/27/23,Midwest,Illinois,Chicago,Fanta,0.5,1250,625,250,0.40
BevCo,1185732,07/28/23,Midwest,Illinois,Chicago,Powerade,0.6,1250,750,263,0.35
BevCo,1185732,07/29/23,Midwest,Illinois,Chicago,Dasani Water,0.65,2500,1625,813,0.50
BevCo,1185732,07/30/23,Midwest,Illinois,Chicago,Coca-Cola,0.6,4000,2400,960,0.40
BevCo,1185732,07/31/23,Midwest,Illinois,Chicago,Diet Coke,0.5,2500,1250,438,0.35
BevCo,1185732,08/01/23,Midwest,Illinois,Chicago,Sprite,0.5,1950,975,341,0.35
BevCo,1185732,08/02/23,Midwest,Illinois,Chicago,Fanta,0.5,1750,875,350,0.40
BevCo,1185732,08/03/23,Midwest,Illinois,Chicago,Powerade,0.6,1500,900,315,0.35
BevCo,1185732,08/04/23,Midwest,Illinois,Chicago,Dasani Water,0.65,2500,1625,813,0.50
BevCo,1185732,08/05/23,Midwest,Illinois,Chicago,Coca-Cola,0.6,5000,3000,1200,0.40
BevCo,1185732,08/06/23,Midwest,Illinois,Chicago,Diet Coke,0.5,3000,1500,525,0.35
BevCo,1185732,08/07/23,Midwest,Illinois,Chicago,Sprite,0.5,2500,1250,438,0.35
BevCo,1185732,08/08/23,Midwest,Illinois,Chicago,Fanta,0.5,2000,1000,400,0.40
BevCo,1185732,08/09/23,Midwest,Illinois,Chicago,Powerade,0.6,2000,1200,420,0.35
BevCo,1185732,08/10/23,Midwest,Illinois,Chicago,Dasani Water,0.65,3000,1950,975,0.50
FizzyCo,1197831,08/11/23,Midwest,Illinois,Chicago,Coca-Cola,0.2,7250,1450,435,0.30
FizzyCo,1197831,08/12/23,Midwest,Illinois,Chicago,Diet Coke,0.3,7250,2175,653,0.30
FizzyCo,1197831,08/13/23,Midwest,Illinois,Chicago,Sprite,0.3,5250,1575,473,0.30
FizzyCo,1197831,08/14/23,Midwest,Illinois,Chicago,Fanta,0.35,5250,1838,735,0.40
FizzyCo,1197831,08/15/23,South,Texas,Dallas,Powerade,0.4,3750,1500,375,0.25
FizzyCo,1197831,08/16/23,South,Texas,Dallas,Dasani Water,0.35,5250,1838,827,0.45
FizzyCo,1197831,08/17/23,South,Texas,Dallas,Coca-Cola,0.25,6750,1688,506,0.30
FizzyCo,1197831,08/18/23,South,Texas,Dallas,Diet Coke,0.35,6500,2275,683,0.30
FizzyCo,1197831,08/19/23,South,Texas,Dallas,Sprite,0.35,4750,1663,499,0.30
FizzyCo,1197831,08/20/23,South,Texas,Dallas,Fanta,0.35,4250,1488,595,0.40
FizzyCo,1197831,08/21/23,South,Texas,Dallas,Powerade,0.4,3000,1200,300,0.25
FizzyCo,1197831,08/22/23,South,Texas,Dallas,Dasani Water,0.35,5000,1750,788,0.45
FizzyCo,1197831,08/23/23,South,Texas,Dallas,Coca-Cola,0.3,6750,2025,709,0.35
FizzyCo,1197831,08/24/23,South,Texas,Dallas,Diet Coke,0.4,6750,2700,945,0.35
FizzyCo,1197831,08/25/23,South,Texas,Dallas,Sprite,0.3,5000,1500,525,0.35
FizzyCo,1197831,08/26/23,South,Texas,Dallas,Fanta,0.35,4000,1400,630,0.45
FizzyCo,1197831,08/27/23,South,Texas,Dallas,Powerade,0.4,3000,1200,360,0.30
FizzyCo,1197831,08/28/23,South,Texas,Dallas,Dasani Water,0.35,4500,1575,788,0.50
FizzyCo,1197831,08/29/23,South,Texas,Dallas,Coca-Cola,0.2,7000,1400,490,0.35
FizzyCo,1197831,08/30/23,South,Texas,Dallas,Diet Coke,0.3,7000,2100,735,0.35
FizzyCo,1197831,08/31/23,South,Texas,Dallas,Sprite,0.25,5250,1313,459,0.35
FizzyCo,1197831,09/01/23,South,Texas,Dallas,Fanta,0.3,4250,1275,574,0.45
FizzyCo,1197831,09/02/23,South,Texas,Dallas,Powerade,0.35,3250,1138,341,0.30
FizzyCo,1197831,09/03/23,South,Texas,Dallas,Dasani Water,0.3,6000,1800,900,0.50
FizzyCo,1197831,09/04/23,South,Texas,Dallas,Coca-Cola,0.2,7500,1500,525,0.35
FizzyCo,1197831,09/05/23,South,Texas,Dallas,Diet Coke,0.3,7750,2325,814,0.35
FizzyCo,1197831,09/06/23,South,Texas,Dallas,Sprite,0.25,6250,1563,547,0.35
FizzyCo,1197831,09/07/23,South,Texas,Dallas,Fanta,0.35,5500,1925,866,0.45
FizzyCo,1197831,09/08/23,South,Texas,Dallas,Powerade,0.5,4500,2250,675,0.30
FizzyCo,1197831,09/09/23,South,Texas,Dallas,Dasani Water,0.45,8000,3600,1800,0.50
FizzyCo,1197831,09/10/23,South,Texas,Dallas,Coca-Cola,0.45,8000,3600,1260,0.35
FizzyCo,1197831,09/11/23,South,Texas,Dallas,Diet Coke,0.5,8000,4000,1400,0.35
FizzyCo,1197831,09/12/23,South,Texas,Dallas,Sprite,0.45,6500,2925,1024,0.35
FizzyCo,1197831,09/13/23,South,Texas,Dallas,Fanta,0.45,6000,2700,1215,0.45
FizzyCo,1197831,09/14/23,South,Texas,Dallas,Powerade,0.5,5000,2500,750,0.30
FizzyCo,1197831,09/15/23,South,Texas,Dallas,Dasani Water,0.55,8750,4813,2406,0.50
FizzyCo,1197831,09/16/23,South,Texas,Dallas,Coca-Cola,0.45,8250,3713,1485,0.40
FizzyCo,1197831,09/17/23,South,Texas,Dallas,Diet Coke,0.5,8250,4125,1650,0.40
FizzyCo,1197831,09/18/23,South,Texas,Dallas,Sprite,0.45,9750,4388,1755,0.40
FizzyCo,1197831,09/19/23,South,Texas,Dallas,Fanta,0.45,5750,2588,1294,0.50
FizzyCo,1197831,09/20/23,South,Texas,Dallas,Powerade,0.5,5750,2875,1006,0.35
FizzyCo,1197831,09/21/23,South,Texas,Dallas,Dasani Water,0.6,8500,5100,2805,0.55
FizzyCo,1197831,09/22/23,South,Texas,Dallas,Coca-Cola,0.5,8000,4000,1600,0.40
FizzyCo,1197831,09/23/23,South,Texas,Dallas,Diet Coke,0.55,8000,4400,1760,0.40
FizzyCo,1197831,09/24/23,South,Texas,Dallas,Sprite,0.5,9750,4875,1950,0.40
FizzyCo,1197831,09/25/23,South,Texas,Dallas,Fanta,0.5,5250,2625,1313,0.50
FizzyCo,1197831,09/26/23,South,Texas,Dallas,Powerade,0.55,5250,2888,1011,0.35
FizzyCo,1197831,09/27/23,South,Texas,Dallas,Dasani Water,0.6,7750,4650,2558,0.55
FizzyCo,1197831,09/28/23,South,Texas,Dallas,Coca-Cola,0.55,7250,3988,1595,0.40
FizzyCo,1197831,09/29/23,South,Texas,Dallas,Diet Coke,0.55,6750,3713,1485,0.40
FizzyCo,1197831,09/30/23,South,Texas,Dallas,Sprite,0.6,7250,4350,1740,0.40
FizzyCo,1197831,10/01/23,South,Texas,Dallas,Fanta,0.6,4500,2700,1350,0.50
FizzyCo,1197831,10/02/23,South,Texas,Dallas,Powerade,0.55,4500,2475,866,0.35
FizzyCo,1197831,10/03/23,South,Texas,Dallas,Dasani Water,0.5,6750,3375,1856,0.55
FizzyCo,1197831,10/04/23,South,Texas,Dallas,Coca-Cola,0.4,6250,2500,1000,0.40
FizzyCo,1197831,10/05/23,South,Texas,Dallas,Diet Coke,0.4,6250,2500,1000,0.40
FizzyCo,1197831,10/06/23,South,Texas,Dallas,Sprite,0.45,5750,2588,1035,0.40
FizzyCo,1197831,10/07/23,South,Texas,Dallas,Fanta,0.45,4250,1913,956,0.50
FizzyCo,1197831,10/08/23,South,Texas,Dallas,Powerade,0.4,4000,1600,560,0.35
FizzyCo,1197831,10/09/23,South,Texas,Dallas,Dasani Water,0.5,5750,2875,1581,0.55
FizzyCo,1197831,10/10/23,South,Texas,Dallas,Coca-Cola,0.4,7250,2900,1160,0.40
FizzyCo,1197831,10/11/23,South,Texas,Dallas,Diet Coke,0.4,7250,2900,1160,0.40
FizzyCo,1197831,10/12/23,South,Texas,Dallas,Sprite,0.65,6500,4225,1690,0.40
FizzyCo,1197831,10/13/23,South,Texas,Dallas,Fanta,0.65,5000,3250,1625,0.50
FizzyCo,1197831,10/14/23,South,Texas,Dallas,Powerade,0.6,4750,2850,998,0.35
FizzyCo,1197831,10/15/23,South,Texas,Dallas,Dasani Water,0.7,6750,4725,2599,0.55
FizzyCo,1197831,10/16/23,South,Texas,Dallas,Coca-Cola,0.6,8250,4950,1980,0.40
FizzyCo,1197831,10/17/23,South,Texas,Dallas,Diet Coke,0.6,8250,4950,1980,0.40
FizzyCo,1197831,10/18/23,South,Texas,Dallas,Sprite,0.65,7250,4713,1885,0.40
FizzyCo,1197831,10/19/23,South,Texas,Dallas,Fanta,0.65,5750,3738,1869,0.50
FizzyCo,1197831,10/20/23,South,Texas,Dallas,Powerade,0.6,5250,3150,1103,0.35
FizzyCo,1197831,10/21/23,South,Texas,Dallas,Dasani Water,0.7,7750,5425,2984,0.55
BevCo,1185732,10/22/23,South,Texas,Dallas,Coca-Cola,0.45,4250,1913,1052,0.55
BevCo,1185732,10/23/23,South,Texas,Dallas,Diet Coke,0.45,2250,1013,354,0.35
BevCo,1185732,10/24/23,South,Texas,Dallas,Sprite,0.35,2250,788,315,0.40
BevCo,1185732,10/25/23,South,Texas,Dallas,Fanta,0.4,750,300,120,0.40
BevCo,1185732,10/26/23,Northeast,Pennsylvania,Philadelphia,Powerade,0.55,1250,688,241,0.35
BevCo,1185732,10/27/23,Northeast,Pennsylvania,Philadelphia,Dasani Water,0.45,2250,1013,304,0.30
BevCo,1185732,10/28/23,Northeast,Pennsylvania,Philadelphia,Coca-Cola,0.45,4750,2138,1176,0.55
BevCo,1185732,10/29/23,Northeast,Pennsylvania,Philadelphia,Diet Coke,0.45,1250,563,197,0.35
BevCo,1185732,10/30/23,Northeast,Pennsylvania,Philadelphia,Sprite,0.35,1750,613,245,0.40
BevCo,1185732,10/31/23,Northeast,Pennsylvania,Philadelphia,Fanta,0.4,500,200,80,0.40
BevCo,1185732,11/01/23,Northeast,Pennsylvania,Philadelphia,Powerade,0.55,1250,688,241,0.35
BevCo,1185732,11/02/23,Northeast,Pennsylvania,Philadelphia,Dasani Water,0.45,2250,1013,304,0.30
BevCo,1185732,11/03/23,Northeast,Pennsylvania,Philadelphia,Coca-Cola,0.5,4450,2225,1224,0.55
BevCo,1185732,11/04/23,Northeast,Pennsylvania,Philadelphia,Diet Coke,0.5,1500,750,263,0.35
BevCo,1185732,11/05/23,Northeast,Pennsylvania,Philadelphia,Sprite,0.4,1750,700,280,0.40
